date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:15:18	6733/6733	---M--	200	added ('OK')	application/x-javascript	etag:%221a4d-5f69bb1266300%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/js/plugins-init/sparkline-init.js	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/js/plugins-init/sparkline-init.js	(from https://yashadmin.dexignzone.com/tailwind/demo/chart-sparkline.html)
13:15:19	10642/10642	---M--	200	added ('OK')	application/x-javascript	etag:%222992-5a9dcf989a500%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/vendor/svganimation/vivus.min.js	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/vendor/svganimation/vivus.min.js	(from https://yashadmin.dexignzone.com/tailwind/demo/chart-sparkline.html)
13:15:19	670/670	---M--	200	added ('OK')	application/x-javascript	etag:%2229e-5aa00a684db80%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/vendor/svganimation/svg.animation.js	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/vendor/svganimation/svg.animation.js	(from https://yashadmin.dexignzone.com/tailwind/demo/chart-sparkline.html)
13:15:20	5486/5486	---M--	200	added ('OK')	application/x-javascript	etag:%22156e-6116a8f247280%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/js/plugins-init/piety-init.js	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/js/plugins-init/piety-init.js	(from https://yashadmin.dexignzone.com/tailwind/demo/chart-peity.html)
13:15:22	55764/55764	---M--	200	added ('OK')	application/x-javascript	etag:%22d9d4-5e2c62f266280%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/js/highlight.min.js	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/js/highlight.min.js	(from https://yashadmin.dexignzone.com/tailwind/demo/ui-accordion.html)
13:15:23	37834/37834	---M--	200	added ('OK')	image/png	etag:%2293ca-5c43385a34800%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/images/card/1.png	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/images/card/1.png	(from https://yashadmin.dexignzone.com/tailwind/demo/ui-card.html)
13:15:25	31214/31214	---M--	200	added ('OK')	image/png	etag:%2279ee-5c43385a34800%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/images/card/2.png	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/images/card/2.png	(from https://yashadmin.dexignzone.com/tailwind/demo/ui-card.html)
13:15:26	33577/33577	---M--	200	added ('OK')	image/png	etag:%228329-5c43385a34800%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/images/card/3.png	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/images/card/3.png	(from https://yashadmin.dexignzone.com/tailwind/demo/ui-card.html)
13:15:26	18431/18431	---M--	200	added ('OK')	text/css	etag:%2247ff-6102ac64efc80%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/vendor/swiper/swiper-bundle.min.css	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/vendor/swiper/swiper-bundle.min.css	(from https://yashadmin.dexignzone.com/tailwind/demo/ui-carousel.html)
13:15:27	39681/39681	---M--	200	added ('OK')	image/jpeg	etag:%229b01-5ec6299a17a00%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/images/big/img1.jpg	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/images/big/img1.jpg	(from https://yashadmin.dexignzone.com/tailwind/demo/ui-carousel.html)
13:15:27	57009/57009	---M--	200	added ('OK')	image/jpeg	etag:%22deb1-5ec6299fd0780%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/images/big/img2.jpg	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/images/big/img2.jpg	(from https://yashadmin.dexignzone.com/tailwind/demo/ui-carousel.html)
13:15:27	59131/59131	---M--	200	added ('OK')	image/jpeg	etag:%22e6fb-5ec629a3a1080%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/images/big/img3.jpg	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/images/big/img3.jpg	(from https://yashadmin.dexignzone.com/tailwind/demo/ui-carousel.html)
